,Drive allele freq. at release,,,,
Generation,90%,75%,50%,25%,10%
G0,0.9,0.75,0.5,0.25,0.1
F1,0.855,0.71969697,0.475,0.316666667,0.105555556
F2,0.777272727,0.658759124,0.440243902,0.295901639,0.099723757
F3,0.638880231,0.574238455,0.400588746,0.273826645,0.093971983
F4,0.485476287,0.474951518,0.356567083,0.250574924,0.088317628
F5,0.359363003,0.379968991,0.311489801,0.226961625,0.082795007
F6,0.264753188,0.298447265,0.267989863,0.203703075,0.077434206
F7,0.198423178,0.233848944,0.228144745,0.181438458,0.072261378
F8,0.151788102,0.18432389,0.193037069,0.16064511,0.067298136
F9,0.118600276,0.146818289,0.162939898,0.141621044,0.062561299
F10,0.094483355,0.118370952,0.137592292,0.124499617,0.058062887
F11,0.076570484,0.096613735,0.116464553,0.109284258,0.053810331
F12,0.062982875,0.07978013,0.098940741,0.09588837,0.049806856
F13,0.052475722,0.066589891,0.084422422,0.084171285,0.046051967
F14,0.044209096,0.056122491,0.07237666,0.073966263,0.042542
F15,0.03760466,0.047714355,0.062351097,0.065100024,0.03927069
F16,0.032256012,0.040883304,0.053972178,0.057405059,0.036229725
F17,0.027871944,0.03527521,0.046936176,0.05072653,0.033409261
F18,0.024239942,0.030626895,0.040998113,0.044925438,0.030798383
F19,0.021202284,0.026740386,0.035961046,0.039879433,0.0283855
F20,0.018640082,0.023464966,0.031666664,0.035482242,0.02615868
F21,0.016462441,0.020684567,0.027987473,0.03164237,0.024105927
F22,0.014598959,0.018308819,0.024820462,0.028281494,0.022215388
F23,0.012994454,0.016266634,0.022082059,0.025332799,0.020475524
F24,0.011605202,0.014501541,0.019704155,0.022739386,0.018875229
F25,0.010396209,0.012968282,0.017630968,0.020452828,0.017403915